workflow	metric	target_label	usually_background_at_or_below	grey_zone_from	grey_zone_to	likely_true_signal_at_or_above	usually_background_rule	likely_true_signal_rule	negative_p95	negative_max	negative_max_plus_step	balanced_threshold	target_fpr_threshold	conservative_threshold	conservative_false_positive_rate	conservative_sensitivity	conservative_precision	balanced_false_positive_rate	balanced_sensitivity	balanced_precision	positive_below_negative_max_fraction	overlap_assessment	grey_zone_note	plain_language_recommendation
multi_assembly	kraken_target_contigs	Plasmodium falciparum	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.098	1.0	0.0	0.098	1.0	0.902	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_assembly	kraken_target_contigs	Plasmodium knowlesi	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.129	1.0	0.0	0.129	1.0	0.871	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_assembly	kraken_target_contigs	Plasmodium vivax	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.117	1.0	0.0	0.117	1.0	0.883	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	kraken_target_reads	Plasmodium falciparum	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.473	1.0	0.0	0.473	1.0	0.527	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	kraken_target_reads	Plasmodium knowlesi	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	1.0	1.0	0.0	1.0	1.0	0.0	Low overlap and clearer separation	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	kraken_target_reads	Plasmodium vivax	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	1.0	1.0	0.0	1.0	1.0	0.0	Low overlap and clearer separation	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	metabuli_target_found	Plasmodium falciparum clade	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.996	1.0	0.0	0.996	1.0	0.004	Low overlap and clearer separation	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	metabuli_target_found	Plasmodium knowlesi	1	1.0	2.0	2	negative_p95	conservative_zero_observed_fp	1	1	2	2	2	2	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	Values in this interval sit above the usual background range but below the zero-observed-false-positive cut-off, so they should be treated cautiously.	At or below 1 the signal is usually background. Above 1 and below 2 is a grey zone. At or above 2 the signal is more likely to be real in the current benchmark.
multi_read	metabuli_target_found	Plasmodium knowlesi direct	1	1.0	2.0	2	negative_p95	conservative_zero_observed_fp	1	1	2	2	2	2	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	Values in this interval sit above the usual background range but below the zero-observed-false-positive cut-off, so they should be treated cautiously.	At or below 1 the signal is usually background. Above 1 and below 2 is a grey zone. At or above 2 the signal is more likely to be real in the current benchmark.
multi_read	minimap_target_alignments	Plasmodium falciparum	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	minimap_target_alignments	Plasmodium knowlesi	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
multi_read	minimap_target_alignments	Plasmodium vivax	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
single_assembly	kraken_target_contigs	single_target	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0			0.0				Unknown overlap	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
single_read	kraken_target_reads	single_target	1	1.0	4.0	4	negative_p95	conservative_zero_observed_fp	1	3	4	3	3	4	0	0.902	1.0	0.006	0.909	0.992	0.098	Low overlap and clearer separation	Values in this interval sit above the usual background range but below the zero-observed-false-positive cut-off, so they should be treated cautiously.	At or below 1 the signal is usually background. Above 1 and below 4 is a grey zone. At or above 4 the signal is more likely to be real in the current benchmark.
single_read	minimap_target_alignments	single_target	1			1	negative_p95	conservative_zero_observed_fp	0	0	1	1	1	1	0	0.0		0.0	0.0		1.0	High overlap between background and true signal	No practical grey zone was identified from the current data because the usual-background and likely-real thresholds coincide.	At or below 1 the signal is usually background. At or above 1 the signal is more likely to be real in the current benchmark.
