Rank	Workflow	Metric	Run	Expected species	Found species	Missing expected species	N expected species	N found species	N reported species	N off-target species	Panel species recovery	Threshold	Specificity	False positive rate	LOD50	LOD95	Interpretation	Performance interpretation	Per-species summary
1	multi_read	kraken_target_reads	spikein_multi_read_panel3_20260417_151431	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax		3	3	3	0	1	1	1.0	0.0	1.0	1.0	All expected species found	Strong overall balance with early detection	Plasmodium falciparum: TP=3, FN=129, sensitivity=0.023 | Plasmodium knowlesi: TP=132, FN=0, sensitivity=1 | Plasmodium vivax: TP=132, FN=0, sensitivity=1
2	multi_read	kraken_target_reads	spikein_multi_read_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	Plasmodium falciparum; Plasmodium vivax		2	2	2	0	1	1	1.0	0.0	1.0	1.0	All expected species found	Strong overall balance with early detection	Plasmodium falciparum: TP=122, FN=10, sensitivity=0.924 | Plasmodium vivax: TP=132, FN=0, sensitivity=1
3	single_read	kraken_target_reads	spikein_single_read_20260417_151414	single_target	single_target		1	1	1	0	1	1	1.0	0.0	1.0	5.0	All expected species found	Strong overall balance with early detection	single_target: TP=128, FN=4, sensitivity=0.970
4	multi_assembly	kraken_target_contigs	spikein_multi_flye_medaka_panel3_20260417_151431	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax		3	3	3	0	1	1	1.0	0.0	2500.0	5000.0	All expected species found	Strong overall balance	Plasmodium falciparum: TP=13, FN=119, sensitivity=0.098 | Plasmodium knowlesi: TP=18, FN=114, sensitivity=0.136 | Plasmodium vivax: TP=14, FN=118, sensitivity=0.106
5	multi_assembly	kraken_target_contigs	spikein_multi_flye_panel3_20260417_151431	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax		3	3	3	0	1	1	1.0	0.0	2500.0		All expected species found	Strong overall balance	Plasmodium falciparum: TP=13, FN=119, sensitivity=0.098 | Plasmodium knowlesi: TP=16, FN=116, sensitivity=0.121 | Plasmodium vivax: TP=18, FN=114, sensitivity=0.136
6	multi_assembly	kraken_target_contigs	spikein_multi_flye_medaka_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	Plasmodium falciparum; Plasmodium vivax		2	2	2	0	1	1	1.0	0.0	2500.0		All expected species found	Strong overall balance	Plasmodium falciparum: TP=11, FN=121, sensitivity=0.083 | Plasmodium vivax: TP=15, FN=117, sensitivity=0.114
7	multi_assembly	kraken_target_contigs	spikein_multi_flye_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax	Plasmodium falciparum; Plasmodium vivax		2	2	2	0	1	1	1.0	0.0	5000.0		All expected species found	Strong overall balance	Plasmodium falciparum: TP=15, FN=117, sensitivity=0.114 | Plasmodium vivax: TP=15, FN=117, sensitivity=0.114
8	multi_read	metabuli_target_found	spikein_multi_metabuli_panel2_20260417_151437	Plasmodium falciparum clade; Plasmodium knowlesi	Plasmodium falciparum clade; Plasmodium knowlesi		2	2	2	0	1	1	0.5	0.5	1.0	1.0	All expected species found	Intermediate performance with trade-offs	Plasmodium falciparum clade: TP=132, FN=0, sensitivity=1 | Plasmodium knowlesi: TP=132, FN=0, sensitivity=1
9	multi_read	metabuli_target_found	spikein_multi_metabuli_panel3_20260417_151437	Plasmodium falciparum clade; Plasmodium knowlesi; Plasmodium knowlesi direct	Plasmodium falciparum clade; Plasmodium knowlesi; Plasmodium knowlesi direct		3	3	3	0	1	1	0.333	0.667	1.0	1.0	All expected species found	High sensitivity but poor negative discrimination	Plasmodium falciparum clade: TP=131, FN=1, sensitivity=0.992 | Plasmodium knowlesi: TP=132, FN=0, sensitivity=1 | Plasmodium knowlesi direct: TP=132, FN=0, sensitivity=1
10	multi_read	metabuli_target_found	spikein_single_metabuli_panel1_20260417_151437	Plasmodium knowlesi	Plasmodium knowlesi		1	1	1	0	1	1	0.0	1.0	1.0	1.0	All expected species found	High sensitivity but poor negative discrimination	Plasmodium knowlesi: TP=132, FN=0, sensitivity=1
11	multi_read	minimap_target_alignments	spikein_multi_read_panel2_20260417_151425	Plasmodium falciparum; Plasmodium vivax		Plasmodium falciparum; Plasmodium vivax	2	0	0	0	0	1	1.0	0.0			No expected species found	Very conservative and misses many positives	Plasmodium falciparum: TP=0, FN=132, sensitivity=0 | Plasmodium vivax: TP=0, FN=132, sensitivity=0
12	multi_read	minimap_target_alignments	spikein_multi_read_panel3_20260417_151431	Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax		Plasmodium falciparum; Plasmodium knowlesi; Plasmodium vivax	3	0	0	0	0	1	1.0	0.0			No expected species found	Very conservative and misses many positives	Plasmodium falciparum: TP=0, FN=132, sensitivity=0 | Plasmodium knowlesi: TP=0, FN=132, sensitivity=0 | Plasmodium vivax: TP=0, FN=132, sensitivity=0
13	single_read	minimap_target_alignments	spikein_single_read_20260417_151414	single_target		single_target	1	0	0	0	0	1	1.0	0.0			No expected species found	Very conservative and misses many positives	single_target: TP=0, FN=132, sensitivity=0
