Rank	Workflow	Metric	Target	Threshold	Sensitivity	Specificity	Precision	F1	False positive rate	False negative rate	LOD50	LOD95	TP	FN	FP	TN	Interpretation
1	multi_read	kraken_target_reads	Plasmodium knowlesi	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	132	0	0	12	Strong overall balance with early detection
2	multi_read	kraken_target_reads	Plasmodium vivax	1	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	264	0	0	24	Strong overall balance with early detection
3	multi_read	metabuli_target_found	Plasmodium falciparum clade	1	0.996	1.0	1.0	0.998	0.0	0.004	1.0	1.0	263	1	0	24	Strong overall balance with early detection
4	single_read	kraken_target_reads	single_target	1	0.97	0.859	0.853	0.908	0.141	0.03	1.0	5.0	128	4	22	134	Intermediate performance with trade-offs
5	multi_read	kraken_target_reads	Plasmodium falciparum	1	0.473	1.0	1.0	0.643	0.0	0.527	5.0		125	139	0	24	Very conservative and misses many positives
6	multi_assembly	kraken_target_contigs	Plasmodium knowlesi	1	0.129	1.0	1.0	0.228	0.0	0.871	5000.0	5000.0	34	230	0	24	Very conservative and misses many positives
7	multi_assembly	kraken_target_contigs	Plasmodium vivax	1	0.117	1.0	1.0	0.21	0.0	0.883	5000.0		62	466	0	48	Very conservative and misses many positives
8	multi_assembly	kraken_target_contigs	Plasmodium falciparum	1	0.098	1.0	1.0	0.179	0.0	0.902	5000.0		52	476	0	48	Very conservative and misses many positives
9	multi_read	minimap_target_alignments	Plasmodium falciparum	1	0.0	1.0		0.0	0.0	1.0			0	264	0	24	Very conservative and misses many positives
10	multi_read	minimap_target_alignments	Plasmodium knowlesi	1	0.0	1.0		0.0	0.0	1.0			0	132	0	12	Very conservative and misses many positives
11	multi_read	minimap_target_alignments	Plasmodium vivax	1	0.0	1.0		0.0	0.0	1.0			0	264	0	24	Very conservative and misses many positives
12	single_read	minimap_target_alignments	single_target	1	0.0	1.0		0.0	0.0	1.0			0	132	0	156	Very conservative and misses many positives
13	multi_read	metabuli_target_found	Plasmodium knowlesi	1	1.0	0.0	0.917	0.957	1.0	0.0	1.0	1.0	396	0	36	0	High sensitivity but poor negative discrimination
14	multi_read	metabuli_target_found	Plasmodium knowlesi direct	1	1.0	0.0	0.917	0.957	1.0	0.0	1.0	1.0	132	0	12	0	High sensitivity but poor negative discrimination
15	single_assembly	kraken_target_contigs	single_target	1		1.0			0.0				0	0	0	288	Insufficient data for stable interpretation
